ID,Intelligence,Blood Status,Loyalty,Gender,What are you curious about?,Affinity to Dark Arts,Magic Transportation Model,Height,Preferred Goblet Potion,"If you were a principal, how would you choose your students?",Species,Preferred Element,Kindness,House
370,23.0,Pure Blood,39.0,M,Magical Creatures,57.92,Apparition,172.78,Silvery Potion,"By a psychological test",Centaurs,,53.07,Hufflepuff
371,27.0,Pure Blood,41.0,F,World after we die,56.59,Portkey,90.78,Silvery Potion,"By a psychological test",Giants,,45.14,Gryffindor
372,24.0,Muggle Born,41.0,M,Plants,45.92,Floo Network,140.18,Potion that makes you see strange visions,"By a difficult exam",Giants,,33.72,Ravenclaw
373,26.0,Muggle Born,38.0,F,World after we die,69.76,Portkey,102.17,Silvery Potion,"By a difficult exam",Centaurs,,64.18,Hufflepuff
374,29.0,Muggle Born,40.0,M,Magical Creatures,50.1,Portkey,120.39,Silvery Potion,"By a psychological test",Humans,,78.51,Gryffindor
375,29.0,Pure Blood,38.0,M,World after we die,55.63,Floo Network,140.57,Potion that makes you see strange visions,"I choose without preferences",Centaurs,,46.06,Gryffindor
376,33.0,Pure Blood,38.0,M,Plants,36.67,Floo Network,145.91,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,80.41,Ravenclaw
377,29.0,Pure Blood,39.0,M,World after we die,56.51,Floo Network,165.86,The Golden Potion,"By a difficult exam",Humans,,43.97,Hufflepuff
378,30.0,Pure Blood,41.0,M,Evil,59.31,Portkey,224.32,The Golden Potion,"By a difficult exam",Giants,,41.41,Hufflepuff
379,29.0,Muggle Born,42.0,F,World after we die,60.36,Portkey,159.23,Potion that makes you see strange visions,"By a psychological test",Giants,,43.13,Hufflepuff
380,31.0,Pure Blood,40.0,M,Magical Creatures,38.55,Apparition,126.46,The Golden Potion,"By a psychological test",Humans,,63.15,Slytherine
381,29.0,Muggle Born,39.0,F,Magical Creatures,49.32,Apparition,153.79,Silvery Potion,"By a difficult exam",Giants,,68.92,Hufflepuff
382,30.0,Pure Blood,40.0,M,Magical Creatures,46.91,Portkey,164.6,Potion that makes you see strange visions,"By a difficult exam",Centaurs,,70.69,Gryffindor
383,28.0,Pure Blood,41.0,M,Magical Creatures,43.68,Floo Network,206.66,Potion that smells of plums and chocolates,"I choose without preferences",Werewolves,Water,52.24,Slytherine
384,30.0,Pure Blood,37.0,M,Magical Creatures,46.18,Apparition,160.03,Potion that makes you see strange visions,"By a difficult exam",Centaurs,,46.14,Ravenclaw
385,26.0,Muggle Born,35.0,F,World after we die,37.3,Floo Network,85.86,Silvery Potion,"I choose students with high scores",Centaurs,,17.04,Slytherine
386,24.0,Muggle Born,40.0,F,World after we die,42.05,Portkey,54.26,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,43.36,Ravenclaw
387,30.0,Pure Blood,41.0,M,World after we die,60.43,Portkey,147.7,The Golden Potion,"I choose without preferences",Centaurs,,83.47,Ravenclaw
388,29.0,Pure Blood,40.0,F,Magical Creatures,61.27,Apparition,149.59,Potion that smells of plums and chocolates,"By a psychological test",Centaurs,,24.75,Slytherine
389,30.0,Pure Blood,38.0,F,Magical Creatures,46.49,Flying,175.21,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,23.0,Slytherine
390,33.0,Pure Blood,39.0,M,Magical Creatures,50.58,Apparition,126.76,Potion that smells of plums and chocolates,"By a psychological test",Humans,,64.6,Ravenclaw
391,26.0,Muggle Born,36.0,F,Plants,44.54,Flying,171.16,Silvery Potion,"By a psychological test",Werewolves,,37.28,Slytherine
392,31.0,Pure Blood,43.0,M,Magical Creatures,53.1,Apparition,201.86,Potion that smells of plums and chocolates,"I choose without preferences",Werewolves,,65.28,Gryffindor
393,29.0,Pure Blood,41.0,M,Plants,56.4,Floo Network,220.17,Silvery Potion,"I choose without preferences",Giants,,79.46,Slytherine
394,28.0,Pure Blood,41.0,M,Magical Creatures,45.13,Floo Network,205.81,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,23.12,Slytherine
395,24.0,Pure Blood,39.0,M,Magical Creatures,48.19,Apparition,180.15,The Golden Potion,"By a difficult exam",Centaurs,,65.23,Ravenclaw
396,33.0,Muggle Born,38.0,F,Magical Creatures,50.35,Flying,225.45,Potion that smells of plums and chocolates,"I choose students with high scores",Humans,,56.85,Gryffindor
397,30.0,Pure Blood,37.0,M,Plants,39.53,Portkey,159.03,Silvery Potion,"I choose students with high scores",Werewolves,,81.26,Slytherine
398,30.0,Pure Blood,40.0,M,,42.58,Portkey,191.64,Potion that smells of plums and chocolates,"I choose students with high scores",Centaurs,,64.76,Ravenclaw
399,27.0,Pure Blood,41.0,M,Magical Creatures,62.67,Floo Network,149.99,Silvery Potion,,Centaurs,,26.01,Gryffindor
400,27.0,Pure Blood,39.0,F,Plants,45.11,Apparition,102.05,The Golden Potion,"I choose students with high scores",Werewolves,,43.69,Gryffindor
401,29.0,Muggle Born,42.0,M,Plants,49.24,Floo Network,129.15,The Golden Potion,"I choose students with high scores",Giants,,47.05,Ravenclaw
402,29.0,Pure Blood,38.0,F,Plants,33.92,Portkey,76.54,Potion that smells of plums and chocolates,"By a psychological test",Werewolves,,78.64,Ravenclaw
403,23.0,Pure Blood,37.0,F,Magical Creatures,46.06,Floo Network,171.15,Potion that smells of plums and chocolates,"I choose without preferences",Werewolves,,43.91,Slytherine
404,30.0,Muggle Born,39.0,F,Magical Creatures,51.22,Portkey,114.67,Potion that smells of plums and chocolates,"I choose students with high scores",,,72.15,Ravenclaw
405,31.0,Muggle Born,38.0,M,World after we die,54.23,Floo Network,207.43,Silvery Potion,"By a difficult exam",Werewolves,,25.8,Gryffindor
406,29.0,Muggle Born,36.0,F,World after we die,53.99,Portkey,225.93,Potion that makes you see strange visions,"I choose without preferences",Centaurs,,51.13,Slytherine
407,30.0,Muggle Born,40.0,M,Plants,53.34,Floo Network,200.53,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,29.37,Slytherine
408,27.0,Pure Blood,39.0,F,Magical Creatures,53.72,Portkey,183.13,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,27.53,Hufflepuff
409,31.0,Muggle Born,39.0,M,World after we die,56.22,Floo Network,88.03,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,26.19,Hufflepuff
410,31.0,Muggle Born,40.0,M,World after we die,63.89,Portkey,101.76,The Golden Potion,"I choose without preferences",Giants,,18.69,Hufflepuff
411,30.0,Pure Blood,40.0,M,Magical Creatures,48.12,Portkey,130.87,Silvery Potion,"I choose without preferences",Centaurs,,36.9,Hufflepuff
412,32.0,Pure Blood,41.0,F,Magical Creatures,42.33,Apparition,187.78,The Golden Potion,"By a psychological test",Giants,,80.46,Ravenclaw
413,23.0,Muggle Born,40.0,M,Plants,67.72,Portkey,150.1,Silvery Potion,"I choose students with high scores",Centaurs,,84.74,Hufflepuff
414,28.0,Muggle Born,42.0,F,Plants,58.45,Apparition,146.07,Silvery Potion,,Centaurs,,51.33,Slytherine
415,21.0,Muggle Born,40.0,M,Plants,53.98,Portkey,130.52,Silvery Potion,"I choose students with high scores",,,52.87,Slytherine
416,31.0,Pure Blood,40.0,F,,74.68,Flying,229.28,Silvery Potion,"By a difficult exam",Centaurs,,30.62,Ravenclaw
417,27.0,Pure Blood,35.0,M,Magical Creatures,39.07,Portkey,118.15,Silvery Potion,"I choose students with high scores",Werewolves,,53.63,Hufflepuff
418,30.0,Pure Blood,45.0,M,Plants,58.71,Floo Network,191.4,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,76.08,Ravenclaw
419,33.0,Pure Blood,39.0,F,Plants,45.46,Portkey,152.33,Potion that makes you see strange visions,"I choose without preferences",Centaurs,,60.47,Ravenclaw
420,34.0,Pure Blood,40.0,M,Magical Creatures,64.19,Floo Network,201.68,,"By a difficult exam",Werewolves,,43.39,Gryffindor
421,26.0,Muggle Born,38.0,M,Magical Creatures,61.87,Apparition,184.12,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,10.42,Ravenclaw
422,29.0,Muggle Born,39.0,M,Evil,53.24,Apparition,162.48,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,95.07,Slytherine
423,28.0,Muggle Born,37.0,F,World after we die,53.19,Apparition,182.35,The Golden Potion,"I choose without preferences",Centaurs,,42.11,Slytherine
424,29.0,Pure Blood,40.0,M,Plants,46.7,Portkey,141.36,Silvery Potion,"I choose without preferences",Centaurs,,33.45,Hufflepuff
425,31.0,Pure Blood,41.0,F,Magical Creatures,56.06,Portkey,229.6,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,31.03,Slytherine
426,27.0,Pure Blood,38.0,F,Plants,50.1,Apparition,169.88,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,59.33,Gryffindor
427,30.0,Pure Blood,41.0,F,Plants,23.92,Portkey,216.31,Potion that smells of plums and chocolates,"By a psychological test",Werewolves,,56.96,Hufflepuff
428,29.0,Pure Blood,39.0,M,Magical Creatures,50.16,Portkey,200.56,Potion that makes you see strange visions,"By a difficult exam",Werewolves,,41.78,Ravenclaw
429,32.0,Muggle Born,43.0,F,Evil,53.93,Floo Network,213.19,Silvery Potion,"By a difficult exam",Centaurs,,30.51,Hufflepuff
430,27.0,Pure Blood,40.0,F,World after we die,55.86,Portkey,90.09,Silvery Potion,"By a difficult exam",Centaurs,,42.37,Ravenclaw
431,30.0,Muggle Born,37.0,M,Plants,60.81,Portkey,127.76,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,52.51,Hufflepuff
432,27.0,Pure Blood,42.0,M,World after we die,39.73,Apparition,196.41,Potion that smells of plums and chocolates,"By a psychological test",Centaurs,,43.38,Gryffindor
433,32.0,Pure Blood,37.0,M,Evil,29.88,Portkey,166.76,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,26.04,Gryffindor
434,31.0,Muggle Born,39.0,M,World after we die,38.5,Flying,77.63,The Golden Potion,"By a difficult exam",Centaurs,,54.54,Gryffindor
435,29.0,Pure Blood,40.0,M,Plants,61.09,Portkey,197.57,Silvery Potion,"By a difficult exam",Centaurs,,30.71,Hufflepuff
436,34.0,Muggle Born,40.0,F,World after we die,39.77,Portkey,141.58,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,65.42,Ravenclaw
437,30.0,Pure Blood,41.0,M,World after we die,52.03,Portkey,181.52,The Golden Potion,"I choose students with high scores",Werewolves,,72.25,Hufflepuff
438,31.0,Muggle Born,37.0,F,World after we die,53.89,Portkey,116.22,Silvery Potion,"By a psychological test",Werewolves,,65.23,Hufflepuff
439,30.0,Muggle Born,41.0,M,Magical Creatures,57.01,Apparition,145.74,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,75.31,Slytherine
440,23.0,Muggle Born,40.0,F,World after we die,42.81,Flying,156.12,Potion that smells of plums and chocolates,"By a psychological test",Giants,,50.29,Gryffindor
441,30.0,Pure Blood,39.0,F,Magical Creatures,51.48,Portkey,214.18,The Golden Potion,"By a difficult exam",Giants,,62.28,Hufflepuff
442,31.0,Muggle Born,35.0,M,Magical Creatures,35.13,Apparition,205.6,Silvery Potion,"By a difficult exam",Giants,,51.31,Ravenclaw
443,29.0,Muggle Born,44.0,F,World after we die,61.25,Portkey,134.2,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,70.66,Slytherine
444,31.0,Pure Blood,42.0,F,Plants,52.82,Portkey,204.26,Silvery Potion,"I choose students with high scores",Giants,,48.5,Gryffindor
445,29.0,Pure Blood,39.0,F,World after we die,41.35,Apparition,153.03,Potion that makes you see strange visions,"By a difficult exam",Werewolves,,41.38,Slytherine
446,27.0,Muggle Born,39.0,M,Magical Creatures,67.01,Portkey,147.77,Potion that makes you see strange visions,"By a difficult exam",Humans,,76.5,Hufflepuff
447,31.0,Pure Blood,45.0,F,Magical Creatures,42.21,Apparition,191.42,Potion that smells of plums and chocolates,"By a psychological test",Centaurs,,85.18,Gryffindor
448,25.0,Muggle Born,36.0,M,Magical Creatures,51.15,Portkey,44.84,Potion that smells of plums and chocolates,"By a difficult exam",Giants,,36.0,Gryffindor
449,30.0,Pure Blood,40.0,F,,49.52,Apparition,106.25,Silvery Potion,"By a difficult exam",Giants,,24.31,Ravenclaw
450,35.0,Muggle Born,37.0,M,Plants,62.86,Portkey,163.64,Silvery Potion,"By a difficult exam",Werewolves,,41.57,Gryffindor
451,32.0,Muggle Born,43.0,M,Evil,64.75,Apparition,124.54,The Golden Potion,"By a difficult exam",Giants,,62.96,Hufflepuff
452,32.0,Muggle Born,40.0,M,Magical Creatures,39.9,,71.83,Silvery Potion,"I choose without preferences",Giants,,60.17,Ravenclaw
453,29.0,Muggle Born,37.0,M,Magical Creatures,38.23,Portkey,157.22,The Golden Potion,"By a difficult exam",Centaurs,,23.31,Ravenclaw
454,32.0,Pure Blood,43.0,M,Evil,53.45,Portkey,139.76,The Golden Potion,"By a difficult exam",Centaurs,,57.9,Slytherine
455,30.0,Muggle Born,40.0,M,Plants,43.32,,154.43,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,29.14,Gryffindor
456,28.0,Pure Blood,41.0,M,Evil,41.86,Flying,174.36,Potion that makes you see strange visions,"By a psychological test",Werewolves,,79.7,Hufflepuff
457,30.0,Muggle Born,37.0,M,Magical Creatures,48.25,Portkey,97.63,Silvery Potion,"By a difficult exam",Werewolves,,51.74,Ravenclaw
458,28.0,Muggle Born,43.0,M,Evil,43.35,Apparition,162.3,The Golden Potion,"I choose without preferences",Humans,,37.19,Ravenclaw
459,26.0,Pure Blood,38.0,F,Plants,60.85,Flying,120.26,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,71.33,Ravenclaw
460,28.0,Muggle Born,41.0,M,World after we die,62.63,Floo Network,111.86,Potion that smells of plums and chocolates,"By a difficult exam",Humans,,41.89,Hufflepuff
461,26.0,Pure Blood,40.0,M,World after we die,36.01,Portkey,134.73,The Golden Potion,"I choose without preferences",Centaurs,,49.52,Gryffindor
462,28.0,Pure Blood,42.0,M,Magical Creatures,56.57,Apparition,168.91,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,71.3,Slytherine
463,27.0,Muggle Born,35.0,M,Magical Creatures,62.96,Apparition,155.42,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,39.71,Gryffindor
464,24.0,Muggle Born,41.0,M,World after we die,73.83,Floo Network,153.4,Silvery Potion,"I choose students with high scores",Centaurs,,30.0,Ravenclaw
465,35.0,Muggle Born,41.0,M,Magical Creatures,67.39,Portkey,152.81,Potion that smells of plums and chocolates,"I choose without preferences",Giants,,55.01,Gryffindor
466,32.0,Pure Blood,40.0,M,Magical Creatures,43.23,Portkey,228.79,,"I choose without preferences",Centaurs,,41.23,Hufflepuff
467,31.0,Pure Blood,41.0,M,World after we die,26.3,Apparition,199.87,The Golden Potion,"By a difficult exam",Werewolves,,65.45,Hufflepuff
468,28.0,Muggle Born,42.0,F,Plants,33.2,Floo Network,175.36,Potion that smells of plums and chocolates,"By a difficult exam",Giants,,33.88,Ravenclaw
469,30.0,Muggle Born,38.0,F,Magical Creatures,55.75,Floo Network,173.53,Silvery Potion,"By a difficult exam",Giants,,47.41,Ravenclaw
470,24.0,Muggle Born,40.0,M,Magical Creatures,38.59,Portkey,186.69,Potion that smells of plums and chocolates,"By a psychological test",,,47.8,Slytherine
471,32.0,Muggle Born,42.0,F,Magical Creatures,46.5,Portkey,212.62,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,60.32,Slytherine
472,30.0,Pure Blood,37.0,F,Magical Creatures,40.43,Portkey,183.53,Silvery Potion,"I choose without preferences",Giants,,28.0,Ravenclaw
473,30.0,Muggle Born,38.0,M,World after we die,44.05,Apparition,135.76,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,32.6,Ravenclaw
474,32.0,Muggle Born,41.0,F,Magical Creatures,52.77,Portkey,198.19,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,33.9,Hufflepuff
475,35.0,Muggle Born,40.0,M,Plants,48.87,Portkey,122.69,Silvery Potion,"By a difficult exam",Werewolves,,62.49,Hufflepuff
476,31.0,Muggle Born,41.0,F,Plants,61.83,Flying,152.78,Potion that smells of plums and chocolates,"I choose students with high scores",Giants,,72.56,Gryffindor
477,27.0,Muggle Born,40.0,M,Magical Creatures,46.93,Apparition,138.38,Potion that smells of plums and chocolates,"By a psychological test",Giants,,80.52,Ravenclaw
478,29.0,Pure Blood,41.0,M,Evil,40.93,Floo Network,197.83,Potion that makes you see strange visions,"I choose students with high scores",Humans,,66.41,Ravenclaw
479,28.0,Pure Blood,39.0,F,Magical Creatures,54.52,Portkey,155.68,Silvery Potion,"I choose without preferences",Humans,,54.93,Ravenclaw
480,27.0,Muggle Born,37.0,M,Magical Creatures,37.89,Portkey,160.22,Potion that makes you see strange visions,"By a difficult exam",Centaurs,,53.61,Ravenclaw
481,26.0,Muggle Born,40.0,M,World after we die,52.53,Flying,149.8,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,46.23,Gryffindor
482,24.0,Muggle Born,38.0,F,World after we die,62.26,Portkey,98.95,,"By a difficult exam",Werewolves,,35.92,Slytherine
483,23.0,Pure Blood,41.0,M,World after we die,46.71,Apparition,195.08,The Golden Potion,"By a psychological test",Werewolves,,69.01,Hufflepuff
484,33.0,Pure Blood,41.0,F,Magical Creatures,54.19,Portkey,162.78,Potion that smells of plums and chocolates,"By a psychological test",Humans,,16.95,Gryffindor
485,28.0,Pure Blood,39.0,M,World after we die,36.93,Floo Network,118.64,Silvery Potion,"By a difficult exam",Werewolves,,75.57,Ravenclaw
486,20.0,Muggle Born,40.0,M,World after we die,61.7,Portkey,199.58,Silvery Potion,"By a difficult exam",Centaurs,,46.26,Hufflepuff
487,27.0,Pure Blood,38.0,F,Magical Creatures,49.42,Apparition,149.74,Silvery Potion,"I choose students with high scores",Werewolves,,44.28,Hufflepuff
488,34.0,Pure Blood,38.0,F,Magical Creatures,34.91,Apparition,227.56,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,29.36,Ravenclaw
489,28.0,Pure Blood,39.0,F,World after we die,61.8,Apparition,172.97,Silvery Potion,"I choose without preferences",Humans,,33.2,Gryffindor
490,29.0,Muggle Born,37.0,M,World after we die,54.19,Floo Network,149.08,Potion that smells of plums and chocolates,"By a psychological test",Giants,,76.73,Slytherine
491,31.0,Muggle Born,39.0,M,Magical Creatures,39.1,Floo Network,146.3,,"I choose without preferences",Centaurs,,55.38,Hufflepuff
492,31.0,Pure Blood,41.0,M,Magical Creatures,35.15,Apparition,221.6,Silvery Potion,"By a difficult exam",Werewolves,,33.98,Ravenclaw
493,31.0,Pure Blood,40.0,M,World after we die,53.81,Portkey,120.62,Potion that smells of plums and chocolates,"By a difficult exam",Giants,,44.49,Slytherine
494,33.0,Pure Blood,46.0,M,Magical Creatures,48.28,Apparition,177.15,Silvery Potion,"By a psychological test",Humans,,45.03,Slytherine
495,31.0,Muggle Born,39.0,F,Plants,56.44,Portkey,138.73,Silvery Potion,"By a difficult exam",Werewolves,,27.86,Gryffindor
496,30.0,Muggle Born,43.0,M,World after we die,40.21,Apparition,174.14,Potion that smells of plums and chocolates,"By a psychological test",Werewolves,,48.22,Gryffindor
497,30.0,Muggle Born,39.0,M,World after we die,46.1,Portkey,124.41,Silvery Potion,"By a psychological test",Werewolves,,71.57,Gryffindor
498,27.0,Muggle Born,42.0,M,Magical Creatures,53.87,Portkey,157.45,Silvery Potion,"I choose students with high scores",Centaurs,,34.85,Hufflepuff
499,26.0,Muggle Born,36.0,F,World after we die,45.8,Portkey,197.12,Silvery Potion,"By a difficult exam",Centaurs,,49.67,Slytherine
500,32.0,Muggle Born,40.0,F,Magical Creatures,33.1,Flying,173.78,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,97.98,Ravenclaw
501,32.0,Muggle Born,38.0,M,Magical Creatures,56.62,Apparition,91.66,Silvery Potion,"By a psychological test",Werewolves,,39.53,Slytherine
502,30.0,Muggle Born,39.0,F,Magical Creatures,67.47,Floo Network,231.75,The Golden Potion,"By a difficult exam",,,49.65,Ravenclaw
503,31.0,Pure Blood,41.0,F,Magical Creatures,73.12,Apparition,168.48,The Golden Potion,"By a difficult exam",Centaurs,,55.76,Hufflepuff
504,32.0,Muggle Born,37.0,M,Magical Creatures,41.3,Portkey,168.02,Potion that makes you see strange visions,"By a difficult exam",Giants,Fire,58.64,Gryffindor
505,28.0,Pure Blood,39.0,F,Magical Creatures,47.05,Flying,118.84,Potion that smells of plums and chocolates,"I choose without preferences",Werewolves,,58.3,Hufflepuff
506,33.0,Pure Blood,38.0,M,Plants,54.13,Floo Network,156.85,The Golden Potion,"I choose without preferences",Centaurs,,7.26,Ravenclaw
507,27.0,Pure Blood,40.0,F,World after we die,62.33,Portkey,64.26,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,30.08,Ravenclaw
508,29.0,Pure Blood,38.0,M,Evil,29.71,Portkey,180.85,Potion that smells of plums and chocolates,"By a psychological test",Giants,,5.38,Ravenclaw
509,27.0,Muggle Born,39.0,M,Plants,58.49,Apparition,90.63,Silvery Potion,"By a difficult exam",Centaurs,,34.44,Gryffindor
510,34.0,Pure Blood,39.0,M,World after we die,51.81,Apparition,147.86,Silvery Potion,"By a difficult exam",Giants,,58.81,Hufflepuff
511,33.0,Pure Blood,39.0,M,Magical Creatures,50.72,Portkey,210.82,Silvery Potion,"I choose students with high scores",Centaurs,,41.94,Ravenclaw
512,31.0,Muggle Born,36.0,F,Plants,46.77,Portkey,133.68,Silvery Potion,"By a difficult exam",Werewolves,,22.32,Gryffindor
513,34.0,Pure Blood,36.0,F,Magical Creatures,38.23,Flying,121.92,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,62.01,Slytherine
514,30.0,Muggle Born,41.0,M,Plants,41.25,Flying,162.36,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,43.73,Ravenclaw
515,21.0,Pure Blood,41.0,F,Magical Creatures,58.03,Floo Network,135.59,Silvery Potion,"By a difficult exam",Werewolves,,40.05,Hufflepuff
516,29.0,Muggle Born,39.0,M,Magical Creatures,47.93,Apparition,123.48,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,82.36,Gryffindor
517,28.0,Muggle Born,40.0,F,Magical Creatures,61.81,Portkey,171.51,Potion that smells of plums and chocolates,"By a psychological test",Centaurs,,25.62,Ravenclaw
518,31.0,Pure Blood,41.0,F,World after we die,66.71,Portkey,154.68,Potion that smells of plums and chocolates,"I choose without preferences",Giants,,55.81,Ravenclaw
519,29.0,Muggle Born,38.0,M,Magical Creatures,51.28,Apparition,223.3,Potion that smells of plums and chocolates,"I choose without preferences",Werewolves,,74.89,Slytherine
520,28.0,Pure Blood,39.0,M,Plants,55.35,Apparition,202.94,Silvery Potion,"By a psychological test",Centaurs,,53.99,Ravenclaw
521,34.0,Pure Blood,38.0,F,Magical Creatures,46.2,Floo Network,204.41,Potion that makes you see strange visions,"I choose without preferences",Giants,,32.63,Slytherine
522,31.0,Muggle Born,42.0,F,World after we die,54.85,Portkey,171.02,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,50.56,Hufflepuff
523,32.0,Pure Blood,40.0,F,Magical Creatures,54.79,Portkey,204.16,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,44.51,Hufflepuff
524,26.0,Pure Blood,38.0,M,Plants,35.29,Portkey,117.37,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,48.29,Ravenclaw
525,27.0,Muggle Born,39.0,M,World after we die,51.69,Apparition,203.62,Silvery Potion,"By a difficult exam",Centaurs,,28.3,Slytherine
526,28.0,Muggle Born,41.0,M,Plants,53.15,Portkey,268.22,Silvery Potion,"By a difficult exam",Werewolves,,66.34,Slytherine
527,27.0,Pure Blood,39.0,M,Plants,53.15,Flying,170.03,Silvery Potion,"By a psychological test",Humans,,49.24,Slytherine
528,30.0,Pure Blood,40.0,M,Plants,60.08,Apparition,172.21,Silvery Potion,"By a difficult exam",Centaurs,,58.36,Hufflepuff
529,29.0,Muggle Born,42.0,M,World after we die,54.46,Apparition,215.25,Potion that smells of plums and chocolates,"I choose students with high scores",Humans,,74.14,Hufflepuff
530,28.0,Muggle Born,40.0,M,Magical Creatures,61.17,Apparition,162.96,Potion that smells of plums and chocolates,"By a psychological test",Humans,,45.65,Slytherine
531,31.0,Pure Blood,40.0,M,World after we die,51.88,Floo Network,185.24,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,81.43,Hufflepuff
532,28.0,Pure Blood,39.0,F,Magical Creatures,44.98,Apparition,103.35,Potion that smells of plums and chocolates,"By a difficult exam",Centaurs,,69.14,Gryffindor
533,35.0,Muggle Born,39.0,F,Magical Creatures,43.18,Portkey,196.4,Silvery Potion,"I choose without preferences",Werewolves,,56.98,Ravenclaw
534,29.0,Muggle Born,38.0,F,Magical Creatures,34.72,Portkey,73.93,The Golden Potion,"By a psychological test",Werewolves,,40.34,Slytherine
535,30.0,Pure Blood,38.0,F,Plants,37.54,Apparition,125.92,Potion that smells of plums and chocolates,"I choose students with high scores",Werewolves,,58.14,Hufflepuff
536,24.0,Pure Blood,41.0,M,World after we die,47.33,Flying,149.26,The Golden Potion,"I choose students with high scores",Centaurs,,18.24,Slytherine
537,27.0,Pure Blood,37.0,F,World after we die,63.31,Portkey,143.12,Potion that smells of plums and chocolates,"I choose without preferences",Humans,,31.19,Slytherine
538,28.0,Pure Blood,42.0,F,Magical Creatures,29.1,Portkey,146.84,Silvery Potion,"I choose students with high scores",Centaurs,,74.96,Hufflepuff
539,34.0,Pure Blood,40.0,M,Magical Creatures,46.3,Apparition,145.96,The Golden Potion,"I choose students with high scores",Centaurs,,16.43,Hufflepuff
540,31.0,Muggle Born,42.0,F,World after we die,48.96,Flying,149.02,Potion that makes you see strange visions,"By a difficult exam",Werewolves,,56.18,Gryffindor
541,33.0,Muggle Born,35.0,M,Plants,52.26,Portkey,57.66,The Golden Potion,"By a psychological test",Humans,,85.04,Gryffindor
542,32.0,Pure Blood,38.0,F,World after we die,45.4,Apparition,195.13,Silvery Potion,"By a difficult exam",Giants,,15.76,Ravenclaw
543,31.0,Muggle Born,39.0,F,World after we die,44.34,Portkey,159.46,Silvery Potion,"By a difficult exam",Werewolves,,57.73,Ravenclaw
544,27.0,Pure Blood,42.0,F,World after we die,35.48,Apparition,124.28,Silvery Potion,"I choose without preferences",Humans,,70.19,Gryffindor
545,29.0,Pure Blood,38.0,F,Evil,30.55,Floo Network,140.3,Silvery Potion,"By a difficult exam",,,32.64,Slytherine
546,34.0,Pure Blood,41.0,M,World after we die,48.64,Apparition,127.33,Silvery Potion,"By a psychological test",Werewolves,,57.27,Ravenclaw
547,31.0,Muggle Born,41.0,F,World after we die,50.06,Apparition,173.58,Silvery Potion,"I choose without preferences",Centaurs,,37.76,Slytherine
548,29.0,Muggle Born,42.0,M,Magical Creatures,58.22,Apparition,146.92,Silvery Potion,"By a difficult exam",,,56.64,Gryffindor
549,26.0,Muggle Born,39.0,M,World after we die,44.81,Apparition,143.11,The Golden Potion,"By a difficult exam",Werewolves,,72.58,Ravenclaw
550,30.0,Muggle Born,38.0,F,Magical Creatures,53.51,Flying,161.71,Potion that makes you see strange visions,"I choose without preferences",Centaurs,,84.98,Ravenclaw
551,34.0,Pure Blood,39.0,M,World after we die,48.62,Portkey,158.39,The Golden Potion,"By a difficult exam",Giants,,32.17,Gryffindor
552,31.0,Muggle Born,40.0,M,Magical Creatures,50.17,Apparition,156.17,Potion that smells of plums and chocolates,"By a psychological test",Werewolves,,69.8,Hufflepuff
553,27.0,Muggle Born,39.0,M,World after we die,45.98,Portkey,102.48,Potion that smells of plums and chocolates,"I choose students with high scores",Centaurs,,5.33,Hufflepuff
